년도별 산불통계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,log,log_scale,산,차선,최대차선,워드1,워드2,워드3,워드4,워드5,,,
2022,2,25,14:25,금,2022,2,25,23:00,경남,경남,함양,함양,죽림,입,기타(직접입력),입산자실화추정,8.03,2.083184528,6.688354714,경남 함양군 함양읍 죽림리 산61-7,3,,아스팔트,전신주,가설건축물,건물,소나무,,,
2022,4,9,13:49,토,2022,4,9,18:18,경기,경기,남양주,진접,진벌,입,성묘객실화,성묘객실화,8,2.079441542,6.684611728,경기 남양주시 진접읍 진벌리 산 23-1,1,,콘크리트,전신주,초화류 관리X,소나무,등산로,,,
2022,4,4,19:43,월,2022,4,5,0:50,경기,경기,하남,,학암,미상,기타(직접입력),미상,8,2.079441542,6.684611728,경기 하남시 학암동 산 105-7,2,-1,아스팔트,가로등,인도,건물,가로수,,,
2022,3,12,14:09,토,2022,3,12,0:00,북부,강원,홍천,서석,생곡,쓰,쓰레기소각,생활쓰레기소각,8,2.079441542,6.684611728,강원 홍천군 서석면 생곡리 산41-3,2,-1,아스팔트,전신주,가설건축물,논밭,소나무,,,
2022,3,5,13:36,토,2022,3,6,16:30,경기,경기,안산,상록,장상,화재,기타(직접입력),건축물실화,8,2.079441542,6.684611728,경기 안산시 상록구 장상동 산19-1,1,,콘크리트,전신주,논밭,건물,가설건축물,,,
2020,3,15,14:55,일,2020,3,15,20:32,인천,인천,연수,,옥련,입,기타(직접입력),입산자실화추정,7,1.945910149,6.551080335,인천 연수구 옥련동 산 29-6,1,,아스팔트,전신주,건물,초화류 관리X,안전망,,,
2019,4,1,16:10,월,2019,4,2,10:00,전남,전남,순천,승주,유평,미상,기타(직접입력),원인미상,7,1.945910149,6.551080335,전남 순천시 승주읍 유평리 산 18-1,1,-2,콘크리트,전신주,건물,호수,소나무,,,
2018,2,17,14:20,토,2018,2,17,23:00,경북,경북,영덕,창수,오촌,미상,기타(직접입력),원인미상,7,1.945910149,6.551080335,경북 영덕군 창수면 오촌리,2,,아스팔트,전신주,가설건축물,건물,논밭,,,
2016,4,2,14:57,토,2016,4,2,19:00,경기,경기,가평,가평,개곡,입,기타(직접입력),입산자 실화추정,7,1.945910149,6.551080335,경기 가평군 가평읍 개곡리,2,,아스팔트,전신주,가설건축물,논밭,개천,,,
2015,3,4,11:40,수,2015,3,5,8:00,동부,강원,정선,여량,구절,화재,주택화재비화,펜션화재 비화,7,1.945910149,6.551080335,강원 정선군 여량면 구절리,2,,아스팔트,전신주,건물,가설건축물,개천,,,
2013,4,13,21:20,토,2013,4,14,8:30,충남,충남,논산,벌곡,신양,기,기타(직접입력),풍등에 의한 실화,7,1.945910149,6.551080335,충남 논산시 벌곡면 신양리 진달래공원묘원,2,,콘크리트,전신주,소나무,주차장,가설건축물,,,
2022,3,4,2:34,금,2022,3,4,9:00,경북,경북,성주,초전,소성,기,기타(직접입력),가로등누전(CCTV확인),6.54,1.877937165,6.483107351,경북 성주군 초전면 소성리 산15-6,2,,아스팔트,전신주,가설건축물,자전거도로,건물,,,
2017,11,10,1:20,금,2017,11,10,14:30,북부,경기,파주,적성,설마,기,무속행위,무속행위 추정,6.5,1.871802177,6.476972363,경기 파주시 적성면 설마리 감악산 7~8부 능선,2,,아스팔트,전신주,인도,건물,안전망,,,연화등
2017,6,23,14:19,금,2017,6,24,16:00,중부,충남,금산,제원,대산,입,기타(직접입력),입산자실화추정,6.3,1.840549633,6.445719819,충남 금산군 제원면 대산리 천앙산,1,,콘크리트,전신주,건물,논밭,가설건축물,,,
2020,4,4,16:10,토,2020,4,4,20:00,경기,경기,남양주,진접,부평,화재,기타(직접입력),건축물실화,6.2,1.824549292,6.429719478,경기 남양주시 진접읍 부평리 산 8-5,1,,아스팔트,전신주,가설건축물,건물,논밭,,,
2013,2,28,13:00,목,2013,2,28,18:00,전남,전남,곡성,겸,괴정,소각,기타(직접입력),밭두렁소각,6,1.791759469,6.396929655,전남 곡성군 겸면 괴정리,2,,아스팔트,전신주,가설건축물,논밭,건물,,,
2017,5,7,14:45,일,2017,5,8,7:00,경북,경북,영덕,영해,사진,담(도),기타(직접입력),도로변담뱃불추정,5.9,1.774952351,6.380122537,경북 영덕군 영해면 사진리 산 70,2,,아스팔트,전신주,가설건축물,건물,해양,,,
2022,1,10,22:26,월,2022,1,11,17:45,경남,경남,창녕,성산,대산,입,기타(직접입력),입산자실화추정,5.5,1.704748092,6.309918278,경남 창녕군 성산면 대산리 산 65,1,,콘크리트,전신주,가설건축물,건물,논밭,,,
2022,5,31,12:51,화,2022,6,1,12:30,대구,대구,달성,하빈,기곡,소각,농산폐기물소각,농산폐기물소각,5.3,1.667706821,6.272877007,대구 달성군 하빈면 기곡리 554,1,,콘크리트,전신주,건물,논밭,가설건축물,,,
2022,12,14,4:49,수,2022,12,14,14:00,강원,강원,삼척,근덕,동막,미상,기타(직접입력),미상,5.2,1.648658626,6.253828812,강원 삼척시 근덕면 동막리,2,,아스팔트,전신주,건물,가설건축물,개천,,,
2019,5,5,14:25,일,2019,5,5,22:00,북부,강원,인제,남,소치,ash,기타(직접입력),숯불 재 투기,5.2,1.648658626,6.253828812,강원 인제군 남면 소치리 600번지,2,,아스팔트,전신주,건물,논밭,개천,,,
2017,3,11,15:13,토,2017,3,11,18:30,경북,경북,영천,화남,죽곡,소각,기타(직접입력),밭두렁소각,5.2,1.648658626,6.253828812,경북 영천시 화남면 죽곡리,2,,아스팔트,전신주,논밭,가설건축물,건물,,,
2022,11,25,19:00,금,2022,11,28,14:25,전북,전북,완주,운주,구제,미상,기타(직접입력),미상,5,1.609437912,6.214608098,전북 완주군 운주면 구제리 산 71-1,1,,콘크리트,전신주,논밭,건물,개천,,,
2022,4,25,14:50,월,2022,4,25,21:00,전남,전남,곡성,옥과,합강,쓰,쓰레기소각,생활쓰레기소각,5,1.609437912,6.214608098,전남 곡성군 옥과면 합강리 산146-1,2,,아스팔트,전신주,논밭,가설건축물,건물,,,
2022,4,2,15:22,토,2022,4,3,14:40,전북,전북,무주,설천,소천,기,기타(직접입력),양봉훈증불씨취급부주의,5,1.609437912,6.214608098,전북 무주군 설천면 소천리 산 27,2,,아스팔트,전신주,논밭,가설건축물,건물,,,
2022,3,5,15:30,토,2022,3,5,17:50,충남,충남,당진,송산,명산,미상,기타(직접입력),미상,5,1.609437912,6.214608098,충남 당진시 송산면 명산리 산 20-1,2,,아스팔트,전신주,논밭,가설건축물,건물,,,
2021,8,18,13:30,수,2021,8,18,19:20,충남,충남,부여,장암,지토,입,기타(직접입력),입산자실화추정,5,1.609437912,6.214608098,충남 부여군 장암면 지토리 산144-1,1,,콘크리트,전신주,논밭,가설건축물,건물,,,
2019,1,24,18:10,목,2019,1,25,0:05,경기,경기,가평,북,화악,기,기타(직접입력),(화목)난로 부주의,5,1.609437912,6.214608098,경기 가평군 북면 화악리 가덕산,2,,아스팔트,전신주,흙길,건물,논밭,,,
2017,12,5,6:31,화,2017,12,5,16:00,경남,경남,산청,시천,신천,기,주택화재비화,축사누전추정,5,1.609437912,6.214608098,경남 산청군 시천면 신천리 산70,1,,콘크리트,전신주,건물,가설건축물,논밭,,,
2015,6,4,6:23,목,2015,6,4,19:30,경기,경기,포천,이동,도평,미상,기타(직접입력),원인미상,5,1.609437912,6.214608098,경기 포천시 이동면 도평리,2,,아스팔트,전신주,건물,논밭,개천,,,
2015,3,8,11:23,일,2015,3,12,18:00,전남,전남,장성,진원,진원,입,기타(직접입력),낚시꾼 취사행위 실화,5,1.609437912,6.214608098,전남 장성군 진원면 진원리 붙태산,2,,아스팔트,전신주,논밭,건물,가설건축물,,,
2013,3,9,15:53,토,2013,3,10,7:10,충남,충남,공주,우성,한천,소각,기타(직접입력),농산폐기물소각,5,1.609437912,6.214608098,충남 공주시 우성면 한천리,1,,아스팔트,전신주,논밭,가설건축물,건물,,,
2013,3,9,12:40,토,2013,3,9,18:30,울산,울산,울주,청량,삼정,작업,기타(직접입력),작업장용접,5,1.609437912,6.214608098,울산 울주군 청량면 삼정리,2,,아스팔트,전신주,논밭,가설건축물,건물,,,
