년도별 산불통계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,log,log_scale,산,차선,최대차선,워드1,워드2,워드3,워드4,워드5,,,
2022,4,5,13:29,화,2022,4,12,18:00,경북,경북,봉화,봉화,화천,ash,기타(직접입력),화목보일러재투기,130,4.86753445,9.472704636,경북 봉화군 봉화읍 화천리 산 39-1,1,-3,아스팔트,전신주,소나무,초화류 관리X,개천,,,
2020,5,1,20:10,금,2020,5,2,9:00,강원,강원,고성,토성,도원,화재,주택화재비화,주택화재비화,123.2,4.813809051,9.418979237,강원 고성군 토성면 도원리 367-1,1,-2,아스팔트,전신주,소나무,건물,개천,,,
2021,2,21,16:05,일,2021,2,22,18:00,경북,경북,예천,감천,유리,미상,기타(직접입력),미상,112,4.718498871,9.323669057,경북 예천군 감천면 유리 산 79,1,-2,콘크리트,전신주,논밭,건물,가설건축물,,,
2019,1,1,16:12,화,2019,1,2,17:20,강원,강원,양양,서,송천,담,기타(직접입력),담뱃불 실화추정,97.94,4.584355046,9.189525232,강원 양양군 서면 송천리 산 31-1,1,-3,아스팔트,전신주,초화류 관리X,소나무,건물,,,
2016,3,30,14:46,수,2016,3,31,12:33,경북,경북,상주,외서,예의,소각,기타(직접입력),논두렁 소각(볏짚 소각),92.6,4.528289142,9.133459328,경북 상주시 외서면 예의리,2,,아스팔트,전신주,논밭,초화류 관리X,가설건축물,,,
2022,2,26,21:02,토,2022,2,28,14:10,대구,대구,달성,가창,용계,입,기타(직접입력),입산자실화,88.63,4.484470401,9.089640587,대구 달성군 가창면 용계리 산86-12,2,,아스팔트,전신주,축대,건물,호수,,,
2017,5,6,14:10,토,2017,5,8,16:30,경북,경북,상주,사벌,덕가,소각,기타(직접입력),농산부산물소각,86,4.454347296,9.059517482,경북 상주시 사벌면 덕가리 산 108,1,,콘크리트,전신주,논밭,과수원,초화류 관리X,,,
2013,3,9,15:38,토,2013,3,10,8:30,경북,경북,포항 북,,용흥,실화,기타(직접입력),어린이불장난,79,4.369447852,8.974618038,경북 포항시 북구 용흥동 가막골,1,-4,콘크리트,전신주,초화류 관리X,건물,가설건축물,,,
2018,2,11,21:27,일,2018,2,13,21:00,강원,강원,삼척,도계,황조,미상,기타(직접입력),원인미상,76.46,4.336767728,8.941937914,강원 삼척시 도계읍 황조리 산106번지,1,-2,아스팔트,전신주,인도,소나무,안전망,,,
2021,2,21,16:05,일,2021,2,22,9:30,충북,충북,영동,매곡,옥전,ash,기타(직접입력),화목보일러재처리부주의 ,74.9,4.316153891,8.921324077,충북 영동군 매곡면 옥전리 산101,1,-2,아스팔트,전신주,건물,초화류 관리X,가설건축물,,,
2022,4,22,13:33,금,2022,4,23,11:30,강원,강원,양양,현북,원일전,미상,기타(직접입력),미상,70.44,4.254761284,8.85993147,강원 양양군 현북면 원일전리 474,1,-2,콘크리트,전신주,건물,초화류 관리X,소나무,,,
2015,3,22,14:01,일,2015,3,23,10:30,강원,강원,화천,간동,도송,쓰,기타(직접입력),쓰레기 소각,67.3,4.209160237,8.814330423,강원 화천군 간동면 도송리,1,-2,아스팔트,전신주,논밭,가설건축물,건물,,,
2016,4,2,19:42,토,2016,4,3,9:00,경북,경북,예천,용문,상금곡,소각,기타(직접입력),논밭두렁 소각,66.5,4.197201948,8.802372134,경북 예천군 용문면 상금곡리,1,-2,아스팔트,전신주,논밭,초화류 관리X,건물,,,
2018,1,1,21:46,월,2018,1,2,19:00,부산,부산,기장,장안,기룡,기,기타(직접입력),풍등,65,4.17438727,8.779557456,부산 기장군 장안읍 기룡리 산 145 (삼각산 정상),1,-2,콘크리트,가로등,인도,건물,소나무,,,
2019,4,2,15:18,화,2019,4,5,18:00,부산,부산,해운대,반송,,쓰,기타(직접입력),쓰레기 소각,56.9,4.041295341,8.646465527,부산 해운대구 반송동 산 144,1,-2,아스팔트,가로등,건물,논밭,가설건축물,,,
2016,4,5,15:08,화,2016,4,6,10:00,중부,충북,충주,수안보,고운,쓰,기타(직접입력),쓰레기 소각(국:19.7/그외:34.1),53.8,3.985273467,8.590443653,충북 충주시 수안보면 고운리 산 1번지,1,,아스팔트,전신주,소나무,저수지,건물,,,
2015,2,8,13:31,일,2015,2,11,10:00,강원,강원,삼척,가곡,오목,기,기타(직접입력),(화목)보일러 불똥,52,3.951243719,8.556413905,강원 삼척시 가곡면 오목리 산17번지,1,,콘크리트,전신주,소나무,초화류 관리X,축대,,,
2015,3,22,12:50,일,2015,3,22,18:30,경기,경기,여주,북내,중암,쓰,기타(직접입력),쓰레기 소각,50.7,3.925925911,8.531096097,경기 여주시 북내면 중암리 77,2,,아스팔트,가로등,골프장,주차장,건물,,,
2021,2,21,14:41,일,2021,2,22,15:08,경남,경남,하동,악양,미점,담,기타(직접입력),담뱃불실화,49.15,3.894876847,8.500047033,경남 하동군 악양면 미점리 미동골,1,,콘크리트,전신주,건물,논밭,태양광 패널,,,
2020,4,8,11:15,수,2020,4,8,18:05,남부,경북,청송,파천,옹점,입,기타(직접입력),입산자실화,48.2,3.875359021,8.480529207,경북 청송군 파천면 옹점리 산49번지,1,,콘크리트,초화류 관리X,축대,소나무,과수원,,,
2015,3,23,13:11,월,2015,3,24,18:00,강원,강원,홍천,화촌,군업,입,기타(직접입력),입산자 실화추정,37.1,3.61361697,8.218787156,강원 홍천군 화촌면 군업리 군업초등학교(폐교),2,,아스팔트,전신주,논밭,소나무,가설건축물,,,
2020,1,4,13:54,토,2020,1,5,17:10,강원,강원,춘천,신북,발산,담,기타(직접입력),담뱃불실화,34.26,3.533978493,8.139148679,강원 춘천시 신북읍 발산리 산 30-1번지,1,,"콘크리트, 흙길",전신주,건물,초화류 관리X,소나무,,,
2021,2,21,19:25,일,2021,2,22,17:00,충남,충남,논산,벌국,덕목,담,기타(직접입력),"담뱃불실화추정(사:25.25, 국:5.88)",34.13,3.530176763,8.135346949,충남 논산시 벌곡면 덕목리 산24번지 (벌곡낚시터),1,,아스팔트,전신주,건물,가설건축물,소류지,,,
2013,3,9,14:18,토,2013,3,9,18:10,울산,울산,북,시례,,입,기타(직접입력),성묘객실화,33.2,3.502549876,8.107720062,울산 북구 시례동 산 116번지,1,,콘크리트,,건물,소나무,,,,
2018,8,15,12:30,수,2018,8,16,9:00,경북,경북,군위,우보,두북,소각,기타(직접입력),농산폐기물소각추정,31.9,3.46260601,8.067776196,경북 대구 군위군 우보면 두북리,2,,아스팔트,전신주,논밭,수로,소나무,,,
2022,3,4,22:19,금,2022,3,5,21:00,강원,강원,강릉,성산,송암,미상,기타(직접입력),미상,30.89,3.430432507,8.035602693,강원 강릉시 성산면 송암리 산 114-1,6,,아스팔트,소나무,초화류 관리X,가로등,안전망,,,
2022,2,25,12:46,금,2022,3,1,10:00,전남,전남,구례,간전,효곡,작업,기타(직접입력),에초기불꽃,29,3.36729583,7.972466016,전남 구례군 간전면 효곡리 산198,2,,아스팔트,전신주,건물,논밭,소나무,,,
2018,12,28,20:43,금,2018,12,29,16:00,강원,강원,삼척,미로,하정,화재,주택화재비화,주택화재,27,3.295836866,7.901007052,강원 삼척시 미로면 하정리 17번지,1,,콘크리트,전신주,건물,논밭,소나무,,,
2021,2,20,15:50,토,2021,2,22,3:00,동부,강원,정선,여량,구절,ash,기타(직접입력),아궁이재처리부주의,24.56,3.201119103,7.806289289,강원 정선군 여량면 구절리 노추산,1,-2,콘크리트,전신주,논밭,건물,소나무,,,
2017,6,4,12:07,일,2017,6,5,8:15,경북,경북,성주,선남,도흥,쓰,기타(직접입력),생활쓰레기소각,24.18,3.185525845,7.790696031,경북 성주 선남면 도흥리 1143번지,1,,아스팔트,전신주,논밭,가설건축물,건물,,,
2022,3,5,19:15,토,2022,3,13,11:00,대구,대구,달성,가창,오,기,기타(직접입력),산불비화추정,22.96,3.133753571,7.738923757,대구 달성군 가창면 오리 산 39-2,1,,아스팔트,전신주,초화류 관리X,건물,소나무,,,
2019,3,27,17:47,수,2019,3,28,13:40,경북,경북,구미,고아,대망,소각,기타(직접입력),농산폐기물 소각(트랙터 밧줄),22,3.091042453,7.696212639,경북 구미시 고아읍 대망리 산 27(왕산골캠핑장),1,,콘크리트,전신주,가설건축물,건물,논밭,,,
2022,3,2,14:43,수,2022,3,10,18:00,남부,부산,금정,,회동,미상,기타(직접입력),미상,20,2.995732274,7.60090246,부산 금정구 회동동 산 5-3,2,-4,아스팔트,전신주,축대,건물,가설건축물,,,
2021,3,23,15:52,화,2021,3,24,11:00,강원,강원,홍천,화촌,성산,입,기타(직접입력),입산자실화,20,2.995732274,7.60090246,강원 홍천군 화촌면 성산리 산 18,2,,아스팔트,전신주,논밭,건물,가설건축물,,,
2020,4,8,13:21,수,2020,4,9,9:00,경남,경남,함양,병곡,도천,작업,작업장실화,기계톱과열,20,2.995732274,7.60090246,경남 함양군 병곡면 도천리 산4,1,-2,"아스팔트, 콘크리트",전신주,저수지,논밭,건물,,,
2020,4,14,17:48,화,2020,4,15,12:00,북부,강원,철원,서,자등,입,기타(직접입력),입산자실화추정,19,2.944438979,7.549609165,강원 철원군 서면 자등리,1,-4,아스팔트,전신주,건물,소나무,개천,,,
2022,2,26,15:16,토,2022,2,26,23:10,경북,경북,문경,문경,평천,입,기타(직접입력),입산자실화,18.5,2.917770732,7.522940918,경북 문경시 문경읍 평천리 산 18-2,1,-2,콘크리트,전신주,과수원,소나무,건물,,,
2019,3,29,14:59,금,2019,3,30,4:00,경북,경북,의성,가음,현리,입,기타(직접입력),성묘객 실화,18.44,2.914522218,7.519692404,경북 의성군 가음면 현리리 산 29,1,-2,아스팔트,전신주,건물,가설건축물,축대,,,
2020,3,22,13:14,일,2020,3,22,19:50,경북,경북,안동,풍천,어담,소각,기타(직접입력),농산폐기물소각,18.3,2.90690106,7.512071246,경북 안동시 풍천면 어담리 356-1,1,-2,아스팔트,전신주,논밭,가설건축물,건물,,,
2017,12,12,23:53,화,2017,12,13,15:00,울산,울산,북,상안,,화재,기타(직접입력),농막화재 비화,18,2.890371758,7.495541944,울산 북구 상안동,1,-6,콘크리트,전신주,건물,논밭,가설건축물,,,
2018,1,14,19:53,일,2018,1,15,5:30,강원,강원,양양,양양,화일,화재,주택화재비화,주택화재 비화,17.73,2.87525812,7.480428306,강원 양양군 양양읍 화일리 산 207,1,,콘크리트,전신주,가로등,초화류 관리X,건물,,,
